Date,Name,Client,Project,Hours,Role,Freelancer,Billable
1/1/2020,Brock Hane,Prohaska - Schiller,exploit extensible blockchains,8,Writer,No,No
1/1/2020,Phoebe Hilll,Prohaska - Schiller,exploit extensible blockchains,8,Producer,No,No
1/1/2020,Bernardo Legros,Prohaska - Schiller,orchestrate best-of-breed infrastructures,8,Designer,No,No
1/1/2020,Kattie Gerlach,Prohaska - Schiller,exploit extensible blockchains,8,Account Manager,No,No
1/1/2020,Nelson Frami,Prohaska - Schiller,orchestrate best-of-breed infrastructures,8,Writer,No,No
1/2/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/2/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Writer,No,Yes
1/2/2020,Brock Hane,Prohaska - Schiller,implement viral markets,3.5,Writer,No,No
1/2/2020,Brock Hane,Prohaska - Schiller,enhance bricks-and-clicks communities,2.5,Writer,No,No
1/2/2020,Bernardo Legros,Prohaska - Schiller,disintermediate seamless communities,2,Designer,No,No
1/2/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/2/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,4,Designer,No,No
1/2/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,2.25,Account Manager,No,Yes
1/2/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,6.75,Account Manager,No,No
1/2/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,8,Producer,No,No
1/2/2020,Nelson Frami,Prohaska - Schiller,enable end-to-end applications,8,Writer,No,No
1/3/2020,Brock Hane,Prohaska - Schiller,implement viral markets,6,Writer,No,No
1/3/2020,Brock Hane,Prohaska - Schiller,enhance bricks-and-clicks communities,2,Writer,No,No
1/3/2020,Bernardo Legros,Prohaska - Schiller,disintermediate seamless communities,5,Designer,No,No
1/3/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/3/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,2,Designer,No,No
1/3/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,1.25,Account Manager,No,Yes
1/3/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,7,Account Manager,No,No
1/3/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,8,Producer,No,No
1/3/2020,Nelson Frami,Prohaska - Schiller,enable end-to-end applications,8,Writer,No,No
1/3/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,8,Producer,No,No
1/3/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,6,Producer,No,No
1/3/2020,Edd Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,10,Producer,No,Yes
1/3/2020,Edd Hilll,Prohaska - Schiller,orchestrate best-of-breed infrastructures,8,Producer,No,No
1/3/2020,Edd Hilll,Prohaska - Schiller,exploit extensible blockchains,8,Producer,No,No
1/4/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,0.25,Account Manager,No,No
1/5/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.75,Account Manager,No,Yes
1/5/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,0.75,Account Manager,No,No
1/6/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/6/2020,Napoleon Nolan,Prohaska - Schiller,synergize holistic initiatives,5.5,Designer,No,No
1/6/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,0.5,Designer,No,No
1/6/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,1.5,Account Manager,No,Yes
1/6/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,7,Account Manager,No,No
1/6/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,5,Writer,No,Yes
1/6/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,0.25,Writer,No,Yes
1/6/2020,Brock Hane,Prohaska - Schiller,transition proactive networks,0.5,Writer,No,No
1/6/2020,Brock Hane,Prohaska - Schiller,implement viral markets,7.25,Writer,No,No
1/6/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,4,Designer,No,No
1/6/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,3,Designer,No,No
1/6/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/6/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,3,Producer,No,No
1/6/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,3,Producer,No,No
1/6/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Producer,No,Yes
1/6/2020,Nelson Frami,Walsh and Sons,integrate value-added blockchains,3,Writer,No,Yes
1/6/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.25,Account Manager,No,Yes
1/6/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,0.25,Account Manager,No,Yes
1/7/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,4,Designer,No,No
1/7/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/7/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,2,Designer,No,No
1/7/2020,Napoleon Nolan,Prohaska - Schiller,synergize holistic initiatives,1,Designer,No,No
1/7/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Account Manager,No,Yes
1/7/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,6,Account Manager,No,No
1/7/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,6,Writer,No,Yes
1/7/2020,Nelson Frami,Prohaska - Schiller,implement viral markets,1,Writer,No,No
1/7/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Writer,No,Yes
1/7/2020,Brock Hane,Prohaska - Schiller,implement viral markets,7,Writer,No,No
1/7/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/7/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,3,Designer,No,No
1/7/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,4,Designer,No,No
1/7/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,5,Producer,No,Yes
1/7/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/7/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/7/2020,Nelson Frami,Walsh and Sons,integrate value-added blockchains,2,Writer,No,Yes
1/7/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,0.25,Account Manager,No,Yes
1/7/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.25,Account Manager,No,Yes
1/8/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,4.5,Designer,No,No
1/8/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,1.5,Designer,No,No
1/8/2020,Napoleon Nolan,Prohaska - Schiller,synergize holistic initiatives,1,Designer,No,No
1/8/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,5,Writer,No,Yes
1/8/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/8/2020,Nelson Frami,Prohaska - Schiller,implement viral markets,1,Writer,No,No
1/8/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,2.25,Account Manager,No,Yes
1/8/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,5,Account Manager,No,No
1/8/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Writer,No,Yes
1/8/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,1,Writer,No,Yes
1/8/2020,Brock Hane,Prohaska - Schiller,implement viral markets,5,Writer,No,No
1/8/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/8/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,4,Designer,No,No
1/8/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,3,Designer,No,No
1/8/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Producer,No,Yes
1/8/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,2,Producer,No,No
1/8/2020,Phoebe Hilll,Walsh and Sons,productize sticky metrics,4,Producer,No,Yes
1/8/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,0.25,Account Manager,No,Yes
1/8/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.5,Account Manager,No,Yes
1/9/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,3.5,Designer,No,No
1/9/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/9/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,3.5,Designer,No,No
1/9/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,6,Writer,No,Yes
1/9/2020,Nelson Frami,Prohaska - Schiller,implement viral markets,1,Writer,No,No
1/9/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,2.25,Account Manager,No,Yes
1/9/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,1.25,Account Manager,No,No
1/9/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,3,Writer,No,Yes
1/9/2020,Brock Hane,Prohaska - Schiller,implement viral markets,5,Writer,No,No
1/9/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/9/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,1,Designer,No,Yes
1/9/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,3,Designer,No,No
1/9/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,3,Designer,No,No
1/9/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,3,Producer,No,Yes
1/9/2020,Phoebe Hilll,Walsh and Sons,productize sticky metrics,2,Producer,No,Yes
1/9/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/9/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/9/2020,Nelson Frami,Walsh and Sons,integrate value-added blockchains,2,Writer,No,Yes
1/9/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,2.25,Account Manager,No,Yes
1/9/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,2.25,Account Manager,No,Yes
1/10/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,8,Writer,No,Yes
1/10/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,2.25,Account Manager,No,Yes
1/10/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.75,Account Manager,No,No
1/10/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,2.5,Writer,No,Yes
1/10/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,1.5,Writer,No,Yes
1/10/2020,Brock Hane,Prohaska - Schiller,implement viral markets,4,Writer,No,No
1/10/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,5,Designer,No,No
1/10/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/10/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,2,Designer,No,No
1/10/2020,Edd Hilll,Walsh and Sons,generate collaborative bandwidth,15,Producer,No,Yes
1/10/2020,Edd Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,15,Producer,No,Yes
1/10/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,8,Producer,No,No
1/10/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,8,Producer,No,No
1/10/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,4,Designer,No,Yes
1/10/2020,Bernardo Legros,Prohaska - Schiller,implement viral markets,2,Designer,No,No
1/10/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/10/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,3,Designer,No,Yes
1/10/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,8,Producer,No,Yes
1/10/2020,Ottilie Graham,Walsh and Sons,integrate value-added blockchains,8,Designer,No,Yes
1/10/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,0.5,Account Manager,No,Yes
1/10/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.25,Account Manager,No,Yes
1/11/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,10,Producer,No,Yes
1/12/2020,Bernardo Legros,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/12/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,3,Producer,No,Yes
1/12/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,8,Writer,No,Yes
1/12/2020,Edd Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,4,Producer,No,Yes
1/13/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,1.25,Account Manager,No,Yes
1/13/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1.5,Account Manager,No,No
1/13/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,3.5,Account Manager,No,No
1/13/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/13/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,10,Producer,No,Yes
1/13/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,12,Writer,No,Yes
1/13/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/13/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,2,Designer,No,No
1/13/2020,Napoleon Nolan,"Wunsch, Brown and Beer",facilitate transparent ROI,5.5,Designer,No,Yes
1/13/2020,Brock Hane,Prohaska - Schiller,implement viral markets,2,Writer,No,No
1/13/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.5,Account Manager,No,Yes
1/13/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,6,Writer,No,Yes
1/13/2020,Edd Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,8,Producer,No,Yes
1/13/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,1,Producer,No,No
1/13/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,7,Designer,No,Yes
1/13/2020,Ottilie Graham,Walsh and Sons,empower dynamic mindshare,1,Designer,No,Yes
1/13/2020,Ottilie Graham,Walsh and Sons,integrate value-added blockchains,7,Designer,No,Yes
1/14/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Writer,No,Yes
1/14/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,2.5,Designer,No,No
1/14/2020,Napoleon Nolan,"Wunsch, Brown and Beer",facilitate transparent ROI,5,Designer,No,Yes
1/14/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/14/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.5,Account Manager,No,Yes
1/14/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,3.75,Account Manager,No,No
1/14/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.75,Account Manager,No,No
1/14/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,10,Producer,No,Yes
1/14/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Writer,No,Yes
1/14/2020,Brock Hane,Prohaska - Schiller,implement viral markets,2,Writer,No,No
1/14/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,4,Account Manager,No,Yes
1/14/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,5,Writer,No,Yes
1/14/2020,Edd Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,4,Producer,No,Yes
1/14/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,1,Producer,No,No
1/14/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,8,Designer,No,Yes
1/14/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/14/2020,Ottilie Graham,Walsh and Sons,integrate value-added blockchains,8,Designer,No,Yes
1/14/2020,Nelson Frami,Walsh and Sons,iterate frictionless e-commerce,2,Writer,No,Yes
1/15/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.75,Account Manager,No,Yes
1/15/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,2.75,Account Manager,No,No
1/15/2020,Kattie Gerlach,Prohaska - Schiller,synergize back-end interfaces,3.25,Account Manager,No,No
1/15/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/15/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,1.5,Designer,No,No
1/15/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,6,Writer,No,Yes
1/15/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,5,Producer,No,Yes
1/15/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/15/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
